layer,target,probe_type,score,cv_score,ci_lower,ci_upper,train_size,test_size
0,lexical_overlap,ridge,0.550343,0.53388,0.511075,0.584971,5168,1292
0,query_term_freq,ridge,0.331771,0.30804,0.272069,0.382583,5168,1292
0,bm25_score,ridge,0.54477,0.480811,0.498483,0.587431,5168,1292
0,bm25_rank,ridge,0.02219,0.027829,-0.031033,0.073091,5168,1292
0,doc_length_bucket,logistic,0.997883,0.997536,0.995801,0.99941,5168,1292
0,is_relevant,logistic,0.738101,0.701598,0.699796,0.772509,5168,1292
0,relevance_label,ridge,0.017159,-0.030513,-0.059876,0.078863,5168,1292
1,lexical_overlap,ridge,0.633769,0.615667,0.595498,0.669355,5168,1292
1,query_term_freq,ridge,0.370898,0.353166,0.319219,0.423838,5168,1292
1,bm25_score,ridge,0.677067,0.627286,0.645653,0.704562,5168,1292
1,bm25_rank,ridge,0.026789,0.024982,-0.028958,0.075824,5168,1292
1,doc_length_bucket,logistic,0.999405,0.998486,0.998791,0.999839,5168,1292
1,is_relevant,logistic,0.762991,0.737833,0.725689,0.798845,5168,1292
1,relevance_label,ridge,0.00642,-0.018005,-0.067548,0.064713,5168,1292
2,lexical_overlap,ridge,0.648556,0.632464,0.614626,0.679912,5168,1292
2,query_term_freq,ridge,0.382499,0.37703,0.33148,0.433879,5168,1292
2,bm25_score,ridge,0.671103,0.625303,0.638406,0.70045,5168,1292
2,bm25_rank,ridge,0.062924,0.03383,0.014583,0.111306,5168,1292
2,doc_length_bucket,logistic,0.999151,0.998706,0.998408,0.999702,5168,1292
2,is_relevant,logistic,0.776717,0.728284,0.738757,0.813762,5168,1292
2,relevance_label,ridge,0.054126,0.005146,-0.007209,0.111063,5168,1292
3,lexical_overlap,ridge,0.629965,0.623461,0.594859,0.661776,5168,1292
3,query_term_freq,ridge,0.405558,0.378998,0.355306,0.455909,5168,1292
3,bm25_score,ridge,0.688051,0.64247,0.655516,0.717911,5168,1292
3,bm25_rank,ridge,0.077716,0.038643,0.027389,0.122093,5168,1292
3,doc_length_bucket,logistic,0.998961,0.998083,0.997899,0.999694,5168,1292
3,is_relevant,logistic,0.770312,0.732361,0.733846,0.806424,5168,1292
3,relevance_label,ridge,0.033764,0.013923,-0.027336,0.088911,5168,1292
4,lexical_overlap,ridge,0.635286,0.632929,0.598059,0.667693,5168,1292
4,query_term_freq,ridge,0.441828,0.394905,0.391634,0.492952,5168,1292
4,bm25_score,ridge,0.705091,0.656852,0.676699,0.73307,5168,1292
4,bm25_rank,ridge,0.058518,0.042518,0.009302,0.105796,5168,1292
4,doc_length_bucket,logistic,0.999282,0.998082,0.998709,0.999746,5168,1292
4,is_relevant,logistic,0.782919,0.743221,0.74494,0.822958,5168,1292
4,relevance_label,ridge,0.037424,0.024763,-0.019551,0.08544,5168,1292
5,lexical_overlap,ridge,0.646044,0.625888,0.612504,0.676963,5168,1292
5,query_term_freq,ridge,0.450819,0.401954,0.396031,0.507794,5168,1292
5,bm25_score,ridge,0.705197,0.658834,0.677092,0.732029,5168,1292
5,bm25_rank,ridge,0.050044,0.030172,0.002852,0.098617,5168,1292
5,doc_length_bucket,logistic,0.999287,0.998122,0.998718,0.999711,5168,1292
5,is_relevant,logistic,0.773758,0.735974,0.736656,0.812357,5168,1292
5,relevance_label,ridge,0.029437,0.018173,-0.03739,0.085299,5168,1292
6,lexical_overlap,ridge,0.651941,0.629067,0.61176,0.685703,5168,1292
6,query_term_freq,ridge,0.441218,0.390125,0.387604,0.496764,5168,1292
6,bm25_score,ridge,0.703048,0.652294,0.673696,0.731526,5168,1292
6,bm25_rank,ridge,0.063609,0.053883,0.013432,0.106761,5168,1292
6,doc_length_bucket,logistic,0.999094,0.998208,0.998372,0.999642,5168,1292
6,is_relevant,logistic,0.763761,0.736078,0.723874,0.800895,5168,1292
6,relevance_label,ridge,0.008465,0.017736,-0.05006,0.05682,5168,1292
7,lexical_overlap,ridge,0.642697,0.628065,0.599653,0.677736,5168,1292
7,query_term_freq,ridge,0.430501,0.399057,0.380922,0.481809,5168,1292
7,bm25_score,ridge,0.6968,0.663267,0.665546,0.724208,5168,1292
7,bm25_rank,ridge,0.065651,0.054317,0.018833,0.11016,5168,1292
7,doc_length_bucket,logistic,0.999271,0.998369,0.998571,0.999804,5168,1292
7,is_relevant,logistic,0.749593,0.721156,0.706125,0.789878,5168,1292
7,relevance_label,ridge,0.014304,0.023077,-0.044065,0.059811,5168,1292
8,lexical_overlap,ridge,0.668804,0.64254,0.633961,0.699917,5168,1292
8,query_term_freq,ridge,0.445226,0.411507,0.395816,0.495734,5168,1292
8,bm25_score,ridge,0.711266,0.675335,0.681542,0.739311,5168,1292
8,bm25_rank,ridge,0.062389,0.062395,0.010071,0.110201,5168,1292
8,doc_length_bucket,logistic,0.998663,0.998196,0.997266,0.999647,5168,1292
8,is_relevant,logistic,0.767389,0.740956,0.725266,0.805035,5168,1292
8,relevance_label,ridge,0.052577,0.014985,-0.001797,0.099107,5168,1292
9,lexical_overlap,ridge,0.681626,0.644367,0.645286,0.711683,5168,1292
9,query_term_freq,ridge,0.432741,0.400123,0.383518,0.486767,5168,1292
9,bm25_score,ridge,0.71226,0.673722,0.684362,0.740779,5168,1292
9,bm25_rank,ridge,0.056595,0.05684,0.003613,0.1048,5168,1292
9,doc_length_bucket,logistic,0.998904,0.998376,0.997709,0.999736,5168,1292
9,is_relevant,logistic,0.768792,0.741287,0.726525,0.808619,5168,1292
9,relevance_label,ridge,0.037882,0.031796,-0.021624,0.08867,5168,1292
10,lexical_overlap,ridge,0.697682,0.67011,0.666226,0.729624,5168,1292
10,query_term_freq,ridge,0.488591,0.440344,0.433625,0.537348,5168,1292
10,bm25_score,ridge,0.731697,0.719281,0.703483,0.757307,5168,1292
10,bm25_rank,ridge,0.067239,0.081694,0.012218,0.119397,5168,1292
10,doc_length_bucket,logistic,0.998792,0.997931,0.997548,0.999644,5168,1292
10,is_relevant,logistic,0.809045,0.813936,0.770402,0.842868,5168,1292
10,relevance_label,ridge,0.072668,0.102575,-0.002282,0.131748,5168,1292
11,lexical_overlap,ridge,0.68657,0.654296,0.652602,0.716222,5168,1292
11,query_term_freq,ridge,0.473164,0.433491,0.421922,0.517701,5168,1292
11,bm25_score,ridge,0.72919,0.71036,0.698619,0.755149,5168,1292
11,bm25_rank,ridge,0.099217,0.06867,0.048534,0.148828,5168,1292
11,doc_length_bucket,logistic,0.998907,0.998015,0.998086,0.999568,5168,1292
11,is_relevant,logistic,0.817897,0.802839,0.782867,0.852108,5168,1292
11,relevance_label,ridge,0.072093,0.116822,0.006026,0.125584,5168,1292
12,lexical_overlap,ridge,0.706828,0.653859,0.671927,0.736115,5168,1292
12,query_term_freq,ridge,0.471316,0.42284,0.414868,0.52517,5168,1292
12,bm25_score,ridge,0.718172,0.701796,0.690267,0.745977,5168,1292
12,bm25_rank,ridge,0.086778,0.073872,0.031761,0.135802,5168,1292
12,doc_length_bucket,logistic,0.998799,0.997714,0.997866,0.999514,5168,1292
12,is_relevant,logistic,0.822644,0.813669,0.787582,0.856061,5168,1292
12,relevance_label,ridge,0.09006,0.122838,0.021724,0.142412,5168,1292
13,lexical_overlap,ridge,0.71196,0.674079,0.678,0.742459,5168,1292
13,query_term_freq,ridge,0.496409,0.442523,0.449474,0.544315,5168,1292
13,bm25_score,ridge,0.768845,0.737245,0.743635,0.793031,5168,1292
13,bm25_rank,ridge,0.088827,0.069457,0.036677,0.139992,5168,1292
13,doc_length_bucket,logistic,0.998617,0.998267,0.997209,0.999513,5168,1292
13,is_relevant,logistic,0.836275,0.831033,0.801523,0.870505,5168,1292
13,relevance_label,ridge,0.11446,0.166979,0.04958,0.173648,5168,1292
14,lexical_overlap,ridge,0.711318,0.685787,0.683506,0.73697,5168,1292
14,query_term_freq,ridge,0.507914,0.450869,0.460715,0.552838,5168,1292
14,bm25_score,ridge,0.783617,0.736817,0.75977,0.805716,5168,1292
14,bm25_rank,ridge,0.100475,0.084289,0.045085,0.149944,5168,1292
14,doc_length_bucket,logistic,0.998627,0.99818,0.997633,0.999477,5168,1292
14,is_relevant,logistic,0.846905,0.837334,0.81406,0.87675,5168,1292
14,relevance_label,ridge,0.148722,0.154665,0.082256,0.202425,5168,1292
15,lexical_overlap,ridge,0.758857,0.740261,0.735646,0.780283,5168,1292
15,query_term_freq,ridge,0.549398,0.50803,0.512358,0.589478,5168,1292
15,bm25_score,ridge,0.795871,0.771481,0.775049,0.817402,5168,1292
15,bm25_rank,ridge,0.100845,0.099676,0.046762,0.155384,5168,1292
15,doc_length_bucket,logistic,0.998643,0.997698,0.997704,0.999351,5168,1292
15,is_relevant,logistic,0.859659,0.856412,0.826254,0.888329,5168,1292
15,relevance_label,ridge,0.174638,0.198893,0.101608,0.235719,5168,1292
16,lexical_overlap,ridge,0.767939,0.764393,0.743412,0.791161,5168,1292
16,query_term_freq,ridge,0.551619,0.51275,0.507634,0.595591,5168,1292
16,bm25_score,ridge,0.801821,0.77429,0.782376,0.823091,5168,1292
16,bm25_rank,ridge,0.113837,0.114296,0.060426,0.164238,5168,1292
16,doc_length_bucket,logistic,0.998322,0.998008,0.997076,0.999296,5168,1292
16,is_relevant,logistic,0.877449,0.862436,0.849223,0.903374,5168,1292
16,relevance_label,ridge,0.181112,0.238823,0.109521,0.241105,5168,1292
17,lexical_overlap,ridge,0.791187,0.774095,0.768999,0.811424,5168,1292
17,query_term_freq,ridge,0.542814,0.525856,0.501357,0.583963,5168,1292
17,bm25_score,ridge,0.814072,0.794942,0.792622,0.833034,5168,1292
17,bm25_rank,ridge,0.134252,0.133538,0.080793,0.186542,5168,1292
17,doc_length_bucket,logistic,0.996965,0.996922,0.995138,0.998529,5168,1292
17,is_relevant,logistic,0.886068,0.872291,0.857922,0.91028,5168,1292
17,relevance_label,ridge,0.204113,0.236858,0.128124,0.266304,5168,1292
18,lexical_overlap,ridge,0.773007,0.773257,0.748873,0.796549,5168,1292
18,query_term_freq,ridge,0.548678,0.523735,0.505046,0.589087,5168,1292
18,bm25_score,ridge,0.81025,0.785322,0.789601,0.828915,5168,1292
18,bm25_rank,ridge,0.122298,0.127795,0.072151,0.172682,5168,1292
18,doc_length_bucket,logistic,0.996983,0.996626,0.995181,0.99848,5168,1292
18,is_relevant,logistic,0.885992,0.869649,0.856361,0.911988,5168,1292
18,relevance_label,ridge,0.213325,0.228045,0.140007,0.271013,5168,1292
19,lexical_overlap,ridge,0.775969,0.777324,0.752803,0.798763,5168,1292
19,query_term_freq,ridge,0.54289,0.524448,0.495451,0.587289,5168,1292
19,bm25_score,ridge,0.811803,0.780796,0.792674,0.830376,5168,1292
19,bm25_rank,ridge,0.125181,0.12991,0.076523,0.174331,5168,1292
19,doc_length_bucket,logistic,0.996711,0.996716,0.994613,0.998535,5168,1292
19,is_relevant,logistic,0.883879,0.871509,0.856497,0.908125,5168,1292
19,relevance_label,ridge,0.226441,0.256165,0.156475,0.289368,5168,1292
20,lexical_overlap,ridge,0.778089,0.770864,0.752424,0.801039,5168,1292
20,query_term_freq,ridge,0.534684,0.518031,0.492542,0.575499,5168,1292
20,bm25_score,ridge,0.806606,0.781009,0.783931,0.827653,5168,1292
20,bm25_rank,ridge,0.145868,0.150693,0.096273,0.192976,5168,1292
20,doc_length_bucket,logistic,0.995905,0.996221,0.993541,0.998054,5168,1292
20,is_relevant,logistic,0.878397,0.871358,0.848616,0.903816,5168,1292
20,relevance_label,ridge,0.239247,0.251606,0.171847,0.300394,5168,1292
21,lexical_overlap,ridge,0.770543,0.758976,0.741901,0.795328,5168,1292
21,query_term_freq,ridge,0.511526,0.499734,0.4566,0.55881,5168,1292
21,bm25_score,ridge,0.799626,0.779155,0.777096,0.821708,5168,1292
21,bm25_rank,ridge,0.144226,0.139334,0.096043,0.1915,5168,1292
21,doc_length_bucket,logistic,0.9959,0.995862,0.993565,0.997702,5168,1292
21,is_relevant,logistic,0.880687,0.869601,0.853731,0.906367,5168,1292
21,relevance_label,ridge,0.235819,0.25681,0.166099,0.287867,5168,1292
22,lexical_overlap,ridge,0.764744,0.753382,0.735346,0.790716,5168,1292
22,query_term_freq,ridge,0.496073,0.491424,0.450091,0.537199,5168,1292
22,bm25_score,ridge,0.797147,0.773409,0.773064,0.819009,5168,1292
22,bm25_rank,ridge,0.136558,0.146885,0.086872,0.181536,5168,1292
22,doc_length_bucket,logistic,0.995705,0.994554,0.993262,0.99784,5168,1292
22,is_relevant,logistic,0.877728,0.870472,0.84917,0.904602,5168,1292
22,relevance_label,ridge,0.223722,0.250929,0.153602,0.281701,5168,1292
23,lexical_overlap,ridge,0.766299,0.751625,0.741087,0.790984,5168,1292
23,query_term_freq,ridge,0.506317,0.484495,0.458788,0.550766,5168,1292
23,bm25_score,ridge,0.791134,0.769958,0.766175,0.813207,5168,1292
23,bm25_rank,ridge,0.1357,0.131469,0.087343,0.180455,5168,1292
23,doc_length_bucket,logistic,0.995605,0.995458,0.993126,0.997671,5168,1292
23,is_relevant,logistic,0.881163,0.8659,0.854781,0.906546,5168,1292
23,relevance_label,ridge,0.228477,0.242853,0.157819,0.282853,5168,1292
24,lexical_overlap,ridge,0.76769,0.760094,0.742907,0.793685,5168,1292
24,query_term_freq,ridge,0.492866,0.495653,0.450126,0.538102,5168,1292
24,bm25_score,ridge,0.792631,0.76364,0.770501,0.813847,5168,1292
24,bm25_rank,ridge,0.1279,0.139649,0.079259,0.175769,5168,1292
24,doc_length_bucket,logistic,0.995897,0.994818,0.993624,0.997767,5168,1292
24,is_relevant,logistic,0.878746,0.872417,0.852618,0.904219,5168,1292
24,relevance_label,ridge,0.221312,0.244758,0.153512,0.27722,5168,1292
25,lexical_overlap,ridge,0.769287,0.76101,0.743589,0.792979,5168,1292
25,query_term_freq,ridge,0.511571,0.500832,0.456971,0.559489,5168,1292
25,bm25_score,ridge,0.791053,0.762605,0.766898,0.813249,5168,1292
25,bm25_rank,ridge,0.132026,0.137582,0.085745,0.175331,5168,1292
25,doc_length_bucket,logistic,0.995926,0.994156,0.993869,0.997776,5168,1292
25,is_relevant,logistic,0.877383,0.869834,0.847091,0.902936,5168,1292
25,relevance_label,ridge,0.214815,0.254723,0.14453,0.274382,5168,1292
26,lexical_overlap,ridge,0.765391,0.75733,0.737685,0.789457,5168,1292
26,query_term_freq,ridge,0.520774,0.511407,0.465217,0.574425,5168,1292
26,bm25_score,ridge,0.786795,0.767916,0.762372,0.808389,5168,1292
26,bm25_rank,ridge,0.127138,0.129378,0.075443,0.172907,5168,1292
26,doc_length_bucket,logistic,0.99591,0.994362,0.993566,0.997778,5168,1292
26,is_relevant,logistic,0.877216,0.868432,0.848102,0.90394,5168,1292
26,relevance_label,ridge,0.228402,0.243753,0.161176,0.283581,5168,1292
27,lexical_overlap,ridge,0.752339,0.753811,0.72695,0.776913,5168,1292
27,query_term_freq,ridge,0.534094,0.517383,0.484566,0.58312,5168,1292
27,bm25_score,ridge,0.795474,0.760428,0.772673,0.816934,5168,1292
27,bm25_rank,ridge,0.120749,0.132248,0.069966,0.166886,5168,1292
27,doc_length_bucket,logistic,0.995584,0.993448,0.99304,0.997799,5168,1292
27,is_relevant,logistic,0.87825,0.869869,0.847433,0.904093,5168,1292
27,relevance_label,ridge,0.237167,0.2436,0.165388,0.296618,5168,1292
